feature_name,min_val,max_val,mean_val,std_val,p10,p25,p50,p75,p90,p99
f0,12.616364906986497,26.74525510669564,19.620297487348097,5.37746382179658,12.616364906986497,12.616364906986497,21.923413325737013,24.43645865232792,25.990925741934383,26.672876016890953
f1,10.059654474774547,16.34418683323554,10.069976509124563,0.10475573081998923,10.059654474774547,10.059654474774547,10.059654474774547,10.059654474774547,10.059654474774547,10.67951260623903
f10,5.300374864042156,6.473917229316857,5.333395556893264,0.16822884744669367,5.300374864042156,5.300374864042156,5.300374864042156,5.300374864042156,5.300374864042156,6.337266175810079
f11,-1.383940669255639,-0.16867922100056124,-0.1709672476812241,0.02283276836547099,-0.16867922100056124,-0.16867922100056124,-0.16867922100056124,-0.16867922100056124,-0.16867922100056124,-0.16867922100056124
f2,8.214382844395335,9.051961945804948,8.446582306855117,0.29931609979364726,8.214382844395335,8.214382844395335,8.214382844395335,8.723335432323797,8.950724427563095,9.042915892858012
f3,-8.39838674285089,4.679881620097284,4.178923067871266,1.3366449970832528,2.5875434914387134,4.679881620097284,4.679881620097284,4.679881620097284,4.679881620097284,4.679881620097284
f4,10.280525225748212,21.123507734315055,10.338837295107222,0.3433081489213369,10.280525225748212,10.280525225748212,10.280525225748212,10.280525225748212,10.280525225748212,11.973287497876754
f5,-9.011891520498516,4.115453421277861,4.028512923124433,0.43109744433859865,4.115453421277861,4.115453421277861,4.115453421277861,4.115453421277861,4.115453421277861,4.115453421277861
f6,-31.429783775633886,0.29444271125560606,-4.155355515086279,4.5779141255546625,-10.98752826991412,-6.699321423701454,-2.411114577488788,0.29444271125560606,0.29444271125560606,0.29444271125560606
f7,4.833814577796811,11.998400591725755,5.101764646650589,1.205247730098422,4.833814577796811,4.833814577796811,4.833814577796811,4.833814577796811,4.833814577796811,11.482083557823483
f8,3.63510661177053,3.971857989350875,3.933580837968935,0.05665958442182023,3.8428279258297415,3.910791936852483,3.971857989350875,3.971857989350875,3.971857989350875,3.971857989350875
f9,13.190055934673358,75.29501735734412,16.02763832976873,7.018974878926241,13.190055934673358,13.190055934673358,13.190055934673358,13.190055934673358,25.24099262342832,44.89363954367225
